Date,Open,High,Low,Close,
12/2/2005,4.209,4.261,4.178,4.226,-0.017
12/9/2005,4.255,4.335,4.225,4.331,-0.076
12/16/2005,4.321,4.336,4.23,4.239,0.082
12/23/2005,4.218,4.224,4.169,4.181,0.037
12/30/2005,4.181,4.181,4.073,4.1,0.081
1/6/2006,4.1,4.159,4.043,4.076,0.024
1/13/2006,4.08,4.143,4.049,4.058,0.022
1/20/2006,4.033,4.066,3.918,4.042,-0.009
1/27/2006,4.02,4.22,3.983,4.198,-0.178
2/3/2006,4.204,4.236,4.129,4.184,0.02
2/10/2006,4.188,4.232,4.122,4.182,0.006
2/17/2006,4.156,4.231,4.123,4.13,0.026
2/24/2006,4.102,4.185,4.095,4.168,-0.066
3/3/2006,4.166,4.261,4.152,4.26,-0.094
3/10/2006,4.249,4.367,4.229,4.344,-0.095
3/17/2006,4.345,4.383,4.276,4.366,-0.021
3/24/2006,4.365,4.394,4.276,4.329,0.036
3/31/2006,4.319,4.417,4.302,4.398,-0.079
4/7/2006,4.416,4.447,4.369,4.414,0.002
4/14/2006,4.413,4.54,4.407,4.538,-0.125
4/21/2006,4.538,4.554,4.467,4.552,-0.014
4/28/2006,4.549,4.712,4.527,4.635,-0.086
5/5/2006,4.611,4.721,4.61,4.684,-0.073
5/12/2006,4.684,4.756,4.661,4.744,-0.06
5/19/2006,4.749,4.753,4.545,4.606,0.143
5/26/2006,4.587,4.637,4.519,4.548,0.039
6/2/2006,4.551,4.654,4.527,4.585,-0.034
6/9/2006,4.574,4.669,4.557,4.57,0.004
6/16/2006,4.568,4.637,4.496,4.611,-0.043
6/23/2006,4.623,4.752,4.61,4.748,-0.125
6/30/2006,4.737,4.761,4.699,4.71,0.027
7/7/2006,4.708,4.754,4.646,4.648,0.06
7/14/2006,4.646,4.693,4.575,4.582,0.064
7/21/2006,4.579,4.69,4.57,4.612,-0.033
7/28/2006,4.626,4.689,4.584,4.593,0.033
8/4/2006,4.6,4.778,4.595,4.706,-0.106
8/11/2006,4.71,4.759,4.639,4.75,-0.04
8/18/2006,4.779,4.786,4.607,4.611,0.168
8/25/2006,4.59,4.614,4.524,4.551,0.039
9/1/2006,4.555,4.575,4.492,4.502,0.053
9/8/2006,4.493,4.599,4.493,4.537,-0.044
9/15/2006,4.545,4.619,4.535,4.577,-0.032
9/22/2006,4.614,4.666,4.494,4.498,0.116
9/29/2006,4.504,4.528,4.444,4.523,-0.019
10/6/2006,4.53,4.582,4.491,4.563,-0.033
10/13/2006,4.572,4.652,4.549,4.648,-0.076
10/20/2006,4.667,4.692,4.615,4.69,-0.023
10/27/2006,4.694,4.722,4.584,4.594,0.1
11/3/2006,4.585,4.598,4.495,4.585,0
11/10/2006,4.598,4.615,4.506,4.52,0.078
11/17/2006,4.515,4.602,4.5,4.559,-0.044
11/24/2006,4.552,4.588,4.514,4.53,0.022
12/1/2006,4.544,4.583,4.449,4.469,0.075
12/8/2006,4.474,4.589,4.457,4.559,-0.085
12/15/2006,4.564,4.695,4.564,4.682,-0.118
12/22/2006,4.701,4.741,4.677,4.732,-0.031
12/29/2006,4.74,4.805,4.731,4.741,-0.001
1/5/2007,4.741,4.826,4.737,4.802,-0.061
1/12/2007,4.797,4.906,4.757,4.904,-0.107
1/19/2007,4.9,4.944,4.855,4.906,-0.006
1/26/2007,4.908,4.998,4.863,4.986,-0.078
2/2/2007,4.984,5.019,4.954,5.002,-0.018
2/9/2007,5.008,5.008,4.909,4.969,0.039
2/16/2007,4.968,5.01,4.849,4.876,0.092
2/23/2007,4.884,4.945,4.867,4.891,-0.007
3/2/2007,4.867,4.871,4.763,4.777,0.09
3/9/2007,4.776,4.826,4.733,4.819,-0.043
3/16/2007,4.825,4.836,4.725,4.783,0.042
3/23/2007,4.782,4.906,4.782,4.904,-0.122
3/30/2007,4.915,4.982,4.898,4.969,-0.054
4/6/2007,4.962,5.026,4.95,4.997,-0.035
4/13/2007,4.994,5.104,4.994,5.103,-0.109
4/20/2007,5.099,5.142,5.01,5.067,0.032
4/27/2007,5.059,5.136,5.032,5.115,-0.056
5/4/2007,5.113,5.134,5.018,5.111,0.002
5/11/2007,5.115,5.124,5.033,5.087,0.028
5/18/2007,5.124,5.171,5.11,5.167,-0.043
5/25/2007,5.154,5.238,5.154,5.234,-0.08
6/1/2007,5.235,5.294,5.209,5.291,-0.056
6/8/2007,5.29,5.432,5.265,5.391,-0.101
6/15/2007,5.392,5.537,5.36,5.483,-0.091
6/22/2007,5.479,5.537,5.414,5.524,-0.045
6/29/2007,5.495,5.512,5.395,5.463,0.032
7/6/2007,5.426,5.554,5.407,5.547,-0.121
7/13/2007,5.553,5.564,5.376,5.488,0.065
7/20/2007,5.48,5.497,5.299,5.307,0.173
7/27/2007,5.298,5.328,5.172,5.198,0.1
8/3/2007,5.193,5.25,5.141,5.184,0.009
8/10/2007,5.177,5.309,5.164,5.223,-0.046
8/17/2007,5.23,5.265,5.006,5.076,0.154
8/24/2007,5.099,5.147,4.964,5.08,0.019
8/31/2007,5.093,5.103,4.988,5.036,0.057
9/7/2007,5.042,5.116,4.939,4.95,0.092
9/14/2007,4.953,4.958,4.843,4.867,0.086
9/21/2007,4.877,5.097,4.805,5.09,-0.213
9/28/2007,5.088,5.121,5.002,5.011,0.077
10/5/2007,5.015,5.053,4.916,4.954,0.061
10/12/2007,4.95,5.086,4.884,5.077,-0.127
10/19/2007,5.081,5.117,4.875,4.889,0.192
10/26/2007,4.887,4.919,4.829,4.846,0.041
11/2/2007,4.832,5.01,4.832,4.865,-0.033
11/9/2007,4.864,4.892,4.729,4.737,0.127
11/16/2007,4.739,4.784,4.609,4.635,0.104
11/23/2007,4.638,4.665,4.5,4.564,0.074
11/30/2007,4.553,4.691,4.532,4.637,-0.084
12/7/2007,4.636,4.645,4.46,4.641,-0.005
12/14/2007,4.637,4.831,4.602,4.791,-0.154
12/21/2007,4.782,4.794,4.581,4.64,0.142
12/28/2007,4.654,4.683,4.545,4.557,0.097
1/4/2008,4.551,4.559,4.393,4.406,0.145
1/11/2008,4.406,4.461,4.387,4.424,-0.018
1/18/2008,4.412,4.479,4.354,4.439,-0.027
1/25/2008,4.437,4.589,4.233,4.529,-0.092
2/1/2008,4.514,4.603,4.455,4.473,0.041
2/8/2008,4.502,4.537,4.397,4.43,0.072
2/15/2008,4.423,4.662,4.423,4.603,-0.18
2/22/2008,4.605,4.744,4.596,4.687,-0.082
2/29/2008,4.688,4.738,4.462,4.469,0.219
3/7/2008,4.459,4.494,4.267,4.327,0.132
