Date,Open,High,Low,Close,
12/2/2005,1.45,1.525,1.44,1.515,-0.065
12/9/2005,1.53,1.58,1.515,1.564,-0.034
12/16/2005,1.565,1.61,1.515,1.535,0.03
12/23/2005,1.54,1.573,1.52,1.555,-0.015
12/30/2005,1.56,1.56,1.48,1.48,0.08
1/6/2006,1.48,1.48,1.43,1.45,0.03
1/13/2006,1.45,1.475,1.415,1.459,-0.009
1/20/2006,1.455,1.49,1.41,1.48,-0.025
1/27/2006,1.48,1.565,1.445,1.55,-0.07
2/3/2006,1.57,1.605,1.555,1.59,-0.02
2/10/2006,1.59,1.613,1.555,1.605,-0.015
2/17/2006,1.605,1.61,1.52,1.52,0.085
2/24/2006,1.525,1.61,1.503,1.595,-0.07
3/3/2006,1.605,1.679,1.57,1.63,-0.025
3/10/2006,1.635,1.67,1.6,1.66,-0.025
3/17/2006,1.665,1.75,1.665,1.724,-0.059
3/24/2006,1.725,1.76,1.715,1.735,-0.01
3/31/2006,1.73,1.829,1.682,1.78,-0.05
4/7/2006,1.78,1.903,1.78,1.884,-0.104
4/14/2006,1.896,1.995,1.869,1.974,-0.078
4/21/2006,1.987,2.01,1.887,1.915,0.072
4/28/2006,1.905,1.989,1.888,1.93,-0.025
5/5/2006,1.933,1.938,1.885,1.93,0.003
5/12/2006,1.94,2.015,1.935,1.994,-0.054
5/19/2006,1.995,2.01,1.9,1.915,0.08
5/26/2006,1.915,1.915,1.798,1.861,0.054
6/2/2006,1.86,1.935,1.803,1.915,-0.055
6/9/2006,1.915,1.943,1.835,1.846,0.069
6/16/2006,1.846,1.865,1.755,1.815,0.031
6/23/2006,1.815,1.89,1.805,1.88,-0.065
6/30/2006,1.875,1.938,1.87,1.93,-0.055
7/7/2006,1.947,1.995,1.94,1.96,-0.013
7/14/2006,1.97,1.99,1.845,1.848,0.122
7/21/2006,1.848,1.87,1.79,1.82,0.028
7/28/2006,1.82,1.937,1.82,1.931,-0.111
8/4/2006,1.93,1.94,1.865,1.875,0.055
8/11/2006,1.861,1.905,1.81,1.843,0.018
8/18/2006,1.845,1.889,1.81,1.859,-0.014
8/25/2006,1.86,1.86,1.705,1.711,0.149
9/1/2006,1.688,1.715,1.606,1.65,0.038
9/8/2006,1.65,1.745,1.65,1.729,-0.079
9/15/2006,1.73,1.73,1.661,1.665,0.065
9/22/2006,1.665,1.715,1.63,1.63,0.035
9/29/2006,1.63,1.698,1.61,1.675,-0.045
10/6/2006,1.71,1.75,1.689,1.706,0.004
10/13/2006,1.705,1.79,1.705,1.77,-0.065
10/20/2006,1.77,1.82,1.77,1.805,-0.035
10/27/2006,1.805,1.86,1.725,1.741,0.064
11/3/2006,1.74,1.74,1.693,1.716,0.024
11/10/2006,1.752,1.78,1.68,1.688,0.064
11/17/2006,1.69,1.745,1.66,1.718,-0.028
11/24/2006,1.72,1.72,1.66,1.664,0.056
12/1/2006,1.671,1.705,1.605,1.608,0.063
12/8/2006,1.6,1.715,1.59,1.7,-0.1
12/15/2006,1.7,1.71,1.61,1.67,0.03
12/22/2006,1.67,1.695,1.585,1.599,0.071
12/29/2006,1.6,1.69,1.575,1.685,-0.085
1/5/2007,1.7,1.725,1.695,1.719,-0.019
1/12/2007,1.72,1.765,1.719,1.745,-0.025
1/19/2007,1.745,1.765,1.66,1.665,0.08
1/26/2007,1.665,1.7,1.648,1.691,-0.026
